12-01 00:00:28 638[I(0)][bp_module.c-2052][BP_MwareInit]current process name is 'mmi_client'.
12-01 00:00:28 660[I(0)][bp_module.c-1894][BP_ProcInit]socket init 2050 127.0.0.1
12-01 00:00:28 662[I(0)][bp_module.c-2062][BP_MwareInit]BP_MwareInit succeed.
12-01 00:00:28 681[I(0)][bp_util.c-12010][BP_ACS_SetLanguageMode]Mode[1]
12-01 00:00:28 685[I(0)][bp_util.c-12232][BP_ACS_SupportTouchScreen]DevName[OET-213H-NB-WH] IsSupport[1]
12-01 00:00:28 712[I(0)][ui_mainwndnew.c-242]MMI_ACS_InitLangResNode OK
12-01 00:00:34 627[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:00:34 627[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:00:42 668[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:00:42 668[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:00:46 709[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10003
12-01 00:00:48 801[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10003
12-01 00:00:48 883[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10003
12-01 00:00:50 707[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:00:50 708[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:00:54 200[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10095
12-01 00:00:54 200[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10024
12-01 00:00:58 747[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:00:58 748[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:06 798[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:06 798[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:14 838[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:14 838[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:22 911[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:22 911[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:30 947[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:30 947[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:38 989[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:38 989[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:47 028[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:47 028[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:01:55 068[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:01:55 068[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:02:03 107[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:02:03 107[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:02:11 147[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:02:11 147[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:02:19 187[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:02:19 187[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:02:27 228[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:02:27 229[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:02:35 278[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:02:35 278[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
